#: table_doi: 10.17182/hepdata.79808.v1/t11
#: name: Figure 9c observed contour
#: description: Figure 9c (bottom left). Observed exclusion region at 95% CL assuming 100% branching fraction.
#: data_file: SUS16050_Figure9c_T5tttt_observed.yaml
#: keyword observables: regions
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | Gluino pair production | Gluino | Top squark | Dark Matter | T5tttt | SUSY
$m_{\tilde{g}}$ [GeV],$m_{\tilde{\chi}^0_1}$ [GeV]
1445.837524,50.0
1441.904419,50.0
1437.935181,50.0
1433.779541,50.0
1429.406738,50.0
1424.772583,50.0
1419.761841,50.0
1414.421021,50.0
1408.779541,50.0
1402.866211,50.0
1396.929688,50.0
1390.978516,50.0
1385.117676,50.0
1379.424561,50.0
1373.889893,50.0
1368.574341,50.0
1363.423462,50.0
1358.358154,50.0
1353.329834,50.0
1348.294312,50.0
1343.206299,50.0
1338.015259,50.0
1332.615356,50.0
1327.030273,50.0
1321.388794,50.0
1315.719727,50.0
1310.062988,50.0
1304.424561,50.0
1298.999146,50.0
1293.818604,50.0
1288.812622,50.0
1284.024292,50.0
1279.398682,50.0
1274.971558,50.0
1270.714233,50.0
1266.677612,50.0
1262.88269,50.0
1259.444824,50.0
1256.451782,50.0
1253.94043,50.0
1251.879883,50.0
1050.824951,50.0
1053.30542,50.0
1056.27478,50.0
1059.675049,50.0
1063.450317,50.0
1067.421387,50.0
1071.525024,50.0
1075.69165,50.0
1079.976074,50.0
1084.269165,50.0
1088.580811,50.0
1093.032837,50.0
1097.539185,50.0
1102.000732,50.0
1106.534912,50.0
1111.094116,50.0
1115.679688,50.0
1120.414673,50.0
1125.255859,50.0
1130.139893,50.0
1135.133667,50.0
1140.218384,50.0
1145.210205,50.0
1150.08374,50.0
1154.815674,50.0
1159.371582,50.0
1163.773926,50.0
1168.003662,50.0
1172.130249,50.0
1176.236084,50.0
1180.29895,50.0
1184.375,50.0
1188.45105,50.0
1192.623291,50.0
1196.918579,50.0
1201.175537,50.0
1205.366699,50.0
1209.389771,50.0
1213.01123,50.0
1216.152222,50.0
1218.655518,50.0
1220.466309,50.0
1221.711182,50.0
1222.453857,50.0

